Country,Internet Users,Population,Population rank,Percentage,Internet users rank
China,765367947,1409517397,1,54,116
India,461347554,1339180127,2,34,145
United States,244090854,324459463,3,75,68
Brazil,141206801,209288278,4,67,83
Japan,115845120,127484450,5,90,23
Russia,109446612,143989754,6,76,64
Indonesia,85242816,263991379,7,32,150
Mexico,82470752,129163276,8,63,92
Germany,69304405,82114224,9,84,36
Philippines,63003313,104918090,10,60,103
United Kingdom,62621016,66181585,11,94,18
Pakistan,61837331,220800300,25,30,184
France,52308536,64979548,13,80,50
Turkey,52225879,80745020,14,64,89
Iran,49038556,81162788,15,60,101
South Korea,48484084,50982212,16,95,15
Vietnam,47359575,95540800,17,49,122
Egypt,43850141,97553151,18,44,132
Spain,39215756,46354321,19,84,33
Thailand,36513941,69037513,20,52,117
Italy,36387619,59359900,21,61,98
Canada,33950632,36624199,22,92,22
Argentina,33561876,44271041,23,75,67
South Africa,31858027,56717156,24,56,111
Nigeria,30557175,190015955,12,27,161
Colombia,30548252,49065615,26,62,96
Bangladesh,30530435,164669751,27,18,180
Poland,29005924,38170712,28,75,66
Saudi Arabia,27048861,32938213,29,82,39
Malaysia,25343685,31624264,30,80,52
Ukraine,25260147,44222947,31,57,109
Morocco,22072765,35739580,32,61,97
Taiwan,21920626,23626456,33,92,21
Australia,21159515,24450561,34,86,31
Venezuela,20564451,31977065,35,64,91
Algeria,19704622,41318142,36,47,130
Ethiopia,19543075,104957438,37,18,179
Iraq,18892351,38274618,38,49,123
Uzbekistan,16692456,31910641,39,52,118
Myanmar,16374103,53370609,40,30,154
Netherlands,15877494,17035938,41,93,20
Peru,15674241,32165485,42,48,128
Chile,14864456,18054726,43,82,38
Kazakhstan,13913699,18204499,44,76,61
Romania,12545558,19679306,45,63,93
Sudan,12512639,40533330,46,30,153
Ghana,10922179,28833629,47,37,140
Ivory Coast,10650818,24294750,48,43,133
Uganda,10162807,42862958,49,23,168
Belgium,10021242,11429336,50,87,28
Sweden,9554907,9910701,51,96,12
Ecuador,9521056,16624858,52,57,107
Tanzania,9169603,57310019,53,16,182
United Arab Emirates,8913217,9400145,54,94,17
Kenya,8861485,49699862,55,17,181
Czech Republic,8358728,10618303,56,78,56
Switzerland,7942864,8476005,57,93,19
Greece,7799565,11159773,58,69,77
Azerbaijan,7763795,9827589,59,79,54
Austria,7681957,8735453,60,87,27
Portugal,7622142,10329506,61,73,70
Yemen,7548512,28250420,62,26,164
Hungary,7461297,9721559,63,76,60
Sri Lanka,7121116,20876917,64,34,147
Belarus,7048231,9468338,65,74,69
Democratic Republic of the Congo,7011507,81339988,66,8,200
Dominican Republic,6997472,10766998,67,64,88
Guatemala,6883796,16913503,68,40,137
Israel,6788737,8321570,69,81,43
Hong Kong,6585678,7364883,70,89,25
Jordan,6480202,9702353,71,66,85
Tunisia,6400330,11532127,72,55,114
Nepal,6271270,29304998,73,21,174
Syria,6257430,18269868,74,34,146
Serbia,6182411,8790574,75,70,76
Mozambique,6162217,29668834,76,20,177
Cuba,5638956,11484636,77,49,125
Cameroon,5580465,24053727,78,23,170
Denmark,5567278,5733551,79,97,9
Cambodia,5441827,16005373,80,34,148
Norway,5120225,5305383,81,96,11
Bolivia,4843916,11051600,82,43,134
Finland,4831170,5523231,83,87,29
Singapore,4821119,5708844,84,84,35
Zambia,4760715,17094130,85,27,160
Lebanon,4755187,6082357,86,78,57
Senegal,4698108,15850567,87,29,158
Bulgaria,4492326,7084571,88,63,94
Zimbabwe,4472992,16529904,89,27,163
Slovakia,4446926,5447662,90,81,42
New Zealand,4273353,4705818,91,90,24
Angola,4271053,29784193,92,14,186
Paraguay,4160340,6811297,93,61,99
Afghanistan,4068194,35530081,94,11,194
Kuwait,4053797,4136528,95,98,5
Ireland,4024552,4761657,96,84,34
Oman,3717818,4636262,97,80,51
Costa Rica,3511549,4905769,98,71,74
Palestinian Authority,3208312,4920724,99,65,87
Moldova,3083783,4051212,100,76,63
Burkina Faso,3047909,19193382,101,15,183
Honduras,2977793,9265067,102,32,151
Croatia,2811056,4189353,103,67,84
Puerto Rico,2664928,3663131,104,72,71
Rwanda,2657770,12208407,105,21,172
Malawi,2566126,18622104,106,13,188
Qatar,2532059,2639211,107,95,13
Madagascar,2505948,25570895,108,9,198
Bosnia and Herzegovina,2437026,3507017,109,69,80
Panama,2371852,4098587,110,57,106
Georgia,2366406,3912061,111,60,100
Uruguay,2360269,3456750,112,68,82
Mali,2358540,18541980,113,12,190
Kyrgyzstan,2309235,6045117,114,38,139
Lithuania,2243448,2890297,115,77,58
Niger,2194985,21477348,116,10,197
Albania,2105339,2930187,117,71,73
Armenia,2043110,2930450,118,69,78
El Salvador,1993079,6377853,119,31,152
Tajikistan,1959127,8921343,120,21,171
Laos,1749517,6858160,121,25,167
Nicaragua,1732218,6217581,122,27,159
Slovenia,1640893,2079976,123,78,55
Macedonia,1589659,2083160,124,76,62
Latvia,1585471,1949670,125,81,45
Benin,1578008,11175692,126,14,187
Guinea,1449758,12717176,127,11,195
Bahrain,1431090,1492584,128,95,14
Jamaica,1409888,2890299,129,48,127
Libya,1387116,6374616,130,21,173
Haiti,1353986,10981229,131,12,192
Turkmenistan,1223591,5758075,132,21,175
Estonia,1153786,1309632,133,88,26
Trinidad and Tobago,1058744,1369125,134,77,59
Gabon,1019049,2025137,135,50,120
South Sudan,1003542,12575714,136,7,202
Sierra Leone,1000575,7557212,137,13,189
Chad,968500,14899994,138,6,204
Togo,963795,7797694,139,12,191
Cyprus,952369,1179551,140,80,47
Botswana,948977,2291661,141,41,135
Namibia,933450,2533794,142,36,143
Papua New Guinea,924955,8251162,143,11,196
Mauritania,919398,4420184,144,20,176
Mongolia,729236,3075647,145,23,169
Mauritius,702911,1265138,146,55,113
Lesotho,665312,2233339,147,29,157
Burundi,607311,10864245,148,5,205
Luxembourg,570794,583455,149,97,6
Djibouti,532849,956985,150,55,112
Macau,517789,622567,151,83,37
Republic of the Congo,455055,5260750,152,8,199
Fiji,452479,905502,153,49,121
Montenegro,448260,628960,154,71,75
The Gambia,416753,2100568,155,19,178
Swaziland,414278,1367254,156,30,155
Brunei,406705,428697,157,94,16
Bhutan,388541,807610,158,48,129
Liberia,377607,4731906,159,7,203
Timor Leste,356356,1296311,160,27,162
Malta,344970,430835,161,80,53
The Bahamas,336057,395361,162,85,32
Equatorial Guinea,332642,1267689,163,26,165
Iceland,329196,335025,164,98,3
Cabo Verde,312315,546388,165,57,108
Somalia,294851,14742523,166,2,208
Guyana,290375,777859,167,37,142
Suriname,275785,563402,168,48,126
Maldives,275717,436330,169,63,95
Barbados,233604,285719,170,81,41
New Caledonia,226557,276255,171,82,40
French Polynesia,205746,283007,172,72,72
Central African Republic,202204,4659080,173,4,206
Belize,176400,374681,174,47,131
Guam,132221,164229,175,80,49
Aruba,102285,105264,176,97,8
Saint Lucia,90889,178844,177,50,119
Antigua and Barbuda,77529,102012,178,76,65
Andorra,76095,76965,179,98,1
Guinea-Bissau,73148,1861283,180,3,207
Solomon Islands,72872,611343,181,11,193
Saint Vincent and the Grenadines,72048,109897,182,65,86
Vanuatu,71050,276244,183,25,166
Comoros,69020,813912,184,8,201
U.S. Virgin Islands,67535,104901,185,64,90
Eritrea,66402,5068831,186,1,209
Samoa,66023,196440,187,33,149
Grenada,63692,107825,188,59,104
São Tomé and Príncipe,61155,204327,189,29,156
Bermuda,60349,61349,190,98,2
Seychelles,55677,94737,191,58,105
Dominica,51467,73925,192,69,79
Cayman Islands,49906,61559,193,81,46
Faroe Islands,48097,49290,194,97,7
Saint Kitts and Nevis,44669,55345,195,80,48
Tonga,44558,108020,196,41,136
Greenland,39242,56480,197,69,81
Jersey,38958,165314,198,41,105
Monaco,37553,38695,199,97,10
"Micronesia, Federated States of",37257,105544,200,35,144
Liechtenstein,37201,37922,201,98,4
Gibraltar,32494,34571,202,94,105
Marshall Islands,20560,53127,203,38,138
San Marino,20100,33400,204,60,102
Kiribati,16971,116398,205,14,185
British Virgin Islands,14456,31196,206,37,141
Anguilla,12043,14909,207,81,44
Nauru,6475,11359,208,57,110
Tuvalu,5520,11192,209,49,124
Saint Helena,2906,4534,210,37,105
Falkland Islands,2881,2910,211,99,105
Montserrat,2833,5177,212,54,115
Wallis and Futuna,1383,11773,213,8,105
Niue,1034,1618,214,86,30
Ascension,361,806,215,41,105
